source_url	parsed_url
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/media/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/cybersecurity/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/video-ceo-interviews/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/2022/06/09/stock-market-news-open-to-close.html
https://www.cnbc.com/world/?region=world	https://static-redesign.cnbcfm.com/dist/components-PcmModule-FeaturedNewsHero-6e75c7dea4766da5df1b.js
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/2022/06/10/santoli-the-market-faces-a-test-with-mays-hot-inflation-report-and-the-fed-next-week.html
https://www.cnbc.com/world/?region=world	https://static-redesign.cnbcfm.com/dist/vendors~AcornsGlobalNav~CNBCGlobalNav~MakeItGlobalNav-92efa5a83bb8b9e67d8e.js
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/real-estate/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/2022/06/08/travelers-can-now-go-to-japan-but-domestic-tourists-remain-its-focus-.html
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/2022/06/11/russia-says-it-will-respond-to-nato-build-up-in-poland-state-media-.html
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/2022/06/10/investing-club-were-using-this-weeks-stock-market-pullback-to-add-more-big-tech.html
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/wealth/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/2022/06/11/taiwan-to-cut-covid-related-quarantine-for-arrivals-to-3-days.html
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/samantha-subin/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/2022/06/10/cramers-lightning-round-zuora-is-not-a-buy.html
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/2022/05/23/jobs-for-people-who-love-to-travel-from-yachts-to-the-united-nations-.html
https://www.cnbc.com/world/?region=world	https://www.cnbc.com
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/2022/06/10/inflation-consumer-woe-add-to-worries-that-recession-is-already-here.html
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/2022/06/10/bank-of-america-says-buy-stocks-with-higher-income-customers-in-a-recession.html
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/michael-bloom/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/investingclub/newsletter/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/favicon.ico
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/industrials/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/defense/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/closed-captioning/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/world-markets/
https://www.cnbc.com/world/?region=world	https://buffett.cnbc.com
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/live-tv/
https://www.cnbc.com/world/?region=world	https://www.twitter.com/cnbci?lang=en/
https://www.cnbc.com/world/?region=world	https://static-redesign.cnbcfm.com/dist/CNBCGlobalNav-b6319036ce29fab292a7.js
https://www.cnbc.com/world/?region=world	https://static-redesign.cnbcfm.com/dist/components-PcmModule-LegacyPlayerContainer~components-PcmModule-LiveTV~components-PcmModule-ProHub~c~4464b7c5-4e81703e3cfe7b786d2f.js
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/megan-sauer/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/ashton-jackson/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/finance/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/video/2022/06/10/cramers-game-plan-for-the-trading-week-of-june-13.html
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/currencies/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/2022/06/11/us-judge-dismisses-cristiano-ronaldo-rape-lawsuit-in-vegas.html
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/live-audio/
https://www.cnbc.com/world/?region=world	https://www.nbcuniversal.com/privacy?intake=CNBC
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/markets-europe/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/anmar-frangoul-profile--cnbc/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/pro/
https://www.cnbc.com/world/?region=world	https://static-redesign.cnbcfm.com/dist/components-PcmModule-MarketNewsTables~components-PcmModule-MarketsModule~components-PcmModule-Market~db1e3034-d1c8012cfd662c92af89.js
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/2022/06/10/jan-6-hearing-alleges-trump-election-conspiracy-heres-whats-next.html
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/2022/06/10/europe-markets-open-to-close-after-ecb-meeting-us-inflation-data-ahead.html
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/news-tips/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/ravi-buddhavarapu/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/2022/06/11/australia-reaches-settlement-with-france-over-scrapped-submarine-deal.html
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/2022/06/09/climate-change-will-force-some-uk-communities-to-move-official-says.html
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/policy/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/equity-opportunity/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/2022/06/11/apple-could-gain-ground-against-microsoft-windows-with-m2-chips.html
https://www.cnbc.com/world/?region=world	https://static-redesign.cnbcfm.com/dist/vendors~AcornsGlobalNav~CNBCGlobalNav~EpisodePage~MakeItGlobalNav~components-PcmModule-LiveTV~compon~b4bd0269-5f184d49ed56b3fa802b.js
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/2022/06/10/cramer-avoid-bogus-tech-companies-that-shouldve-never-gone-public.html
https://www.cnbc.com/world/?region=world	https://static-redesign.cnbcfm.com/dist/351C86_3_0.woff2
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/2022/06/10/how-to-respond-to-coworkers-interrupting-your-pto-with-a-non-emergency.html
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/2022/06/10/flu-hepatitis-monkeypox-diseases-suppressed-during-covid-are-back.html
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/holly-ellyatt/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/small-business/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/fintech/
https://www.cnbc.com/world/?region=world	https://www.linkedin.com/showcase/cnbc-international/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/2022/06/11/gasoline-prices-top-5-a-gallon-nationally-for-the-first-time-and-are-likely-headed-higher.html
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/politics/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/coronavirus/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/world/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/transportation/
https://www.cnbc.com/world/?region=world	https://static-redesign.cnbcfm.com/dist/components-PcmModule-LatestNews-7f4178542359d3c98578.js
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/2022/06/10/tesla-files-for-3-for-1-stock-split.html
https://www.cnbc.com/world/?region=world	https://static-redesign.cnbcfm.com/dist/LyonText-Bold-Web.woff2
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/cnbc-disruptors/
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/2022/06/11/the-pandemic-stimulus-checks-were-a-big-experiment-did-it-work.html
https://www.cnbc.com/world/?region=world	https://static-redesign.cnbcfm.com/dist/components-PcmModule-Ads-MidResponsive-94521f77ba4604b15f63.js
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/?region=usa
https://www.cnbc.com/world/?region=world	https://static-redesign.cnbcfm.com/dist/components-shared-Card-8f83507af98bec7770af.js
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/investing/
https://www.cnbc.com/world/?region=world	https://static-redesign.cnbcfm.com/dist/icomoon.ttf
https://www.cnbc.com/world/?region=world	https://www.cnbc.com/sustainable-future/
